country,industry,ai_tool,year,age_group,company_size,avg_adoption_rate,total_dau,records_count
Australia,Agriculture,Bard,2023,18-24,Enterprise,34.8475,19573,4
Australia,Agriculture,Bard,2023,18-24,SME,33.7066666666667,9833,3
Australia,Agriculture,Bard,2023,18-24,Startup,69.38,35097,4
Australia,Agriculture,Bard,2023,25-34,Enterprise,51.625,4958,2
Australia,Agriculture,Bard,2023,25-34,SME,47.93,19725,4
Australia,Agriculture,Bard,2023,25-34,Startup,21.04,15226,2
Australia,Agriculture,Bard,2023,35-44,Enterprise,50.14,18697,3
Australia,Agriculture,Bard,2023,35-44,SME,49.8266666666667,15738,3
Australia,Agriculture,Bard,2023,35-44,Startup,25.7033333333333,5470,3
Australia,Agriculture,Bard,2023,45-54,Enterprise,92.44,6595,1
Australia,Agriculture,Bard,2023,45-54,SME,17.37,30666,4
Australia,Agriculture,Bard,2023,45-54,Startup,93.75,6308,1
Australia,Agriculture,Bard,2023,55+,Enterprise,59.675,6302,2
Australia,Agriculture,Bard,2023,55+,SME,39.985,27402,6
Australia,Agriculture,Bard,2023,55+,Startup,62.445,32255,6
Australia,Agriculture,Bard,2024,18-24,Enterprise,43.8583333333333,28190,6
Australia,Agriculture,Bard,2024,18-24,SME,65.0027272727273,55395,11
Australia,Agriculture,Bard,2024,18-24,Startup,74.6571428571429,39437,7
Australia,Agriculture,Bard,2024,25-34,Enterprise,48.84,62889,11
Australia,Agriculture,Bard,2024,25-34,SME,52.074,17841,5
Australia,Agriculture,Bard,2024,25-34,Startup,44.1223076923077,69416,13
Australia,Agriculture,Bard,2024,35-44,Enterprise,56.0141666666667,55064,12
Australia,Agriculture,Bard,2024,35-44,SME,41.0230769230769,58924,13
Australia,Agriculture,Bard,2024,35-44,Startup,49.7244444444445,38097,9
Australia,Agriculture,Bard,2024,45-54,Enterprise,52.56875,32007,8
Australia,Agriculture,Bard,2024,45-54,SME,48.9654545454545,57604,11
Australia,Agriculture,Bard,2024,45-54,Startup,33.4566666666667,30915,6
Australia,Agriculture,Bard,2024,55+,Enterprise,58.1733333333333,36656,9
Australia,Agriculture,Bard,2024,55+,SME,40.085,47212,8
Australia,Agriculture,Bard,2024,55+,Startup,53.89,48013,8
Australia,Agriculture,ChatGPT,2023,18-24,Enterprise,46.9135294117647,87131,17
Australia,Agriculture,ChatGPT,2023,18-24,SME,57.7141176470588,88809,17
Australia,Agriculture,ChatGPT,2023,18-24,Startup,61.844,42155,10
Australia,Agriculture,ChatGPT,2023,25-34,Enterprise,49.5675,83234,16
Australia,Agriculture,ChatGPT,2023,25-34,SME,42.860625,80914,16
Australia,Agriculture,ChatGPT,2023,25-34,Startup,42.45875,71261,16
Australia,Agriculture,ChatGPT,2023,35-44,Enterprise,44.7575,30423,8
Australia,Agriculture,ChatGPT,2023,35-44,SME,41.8854545454545,48669,11
Australia,Agriculture,ChatGPT,2023,35-44,Startup,57.652,73396,15
Australia,Agriculture,ChatGPT,2023,45-54,Enterprise,58.2416666666667,49572,12
Australia,Agriculture,ChatGPT,2023,45-54,SME,51.5935294117647,96212,17
Australia,Agriculture,ChatGPT,2023,45-54,Startup,31.8455555555556,21958,9
Australia,Agriculture,ChatGPT,2023,55+,Enterprise,37.3546153846154,64168,13
Australia,Agriculture,ChatGPT,2023,55+,SME,46.8436363636364,81823,11
Australia,Agriculture,ChatGPT,2023,55+,Startup,49.9744444444444,70754,18
Australia,Agriculture,ChatGPT,2024,18-24,Enterprise,61.1429411764706,173734,34
Australia,Agriculture,ChatGPT,2024,18-24,SME,45.2715789473684,185526,38
Australia,Agriculture,ChatGPT,2024,18-24,Startup,49.1976666666667,137245,30
Australia,Agriculture,ChatGPT,2024,25-34,Enterprise,54.339,178383,30
Australia,Agriculture,ChatGPT,2024,25-34,SME,44.0951351351351,186067,37
Australia,Agriculture,ChatGPT,2024,25-34,Startup,47.8658064516129,158265,31
Australia,Agriculture,ChatGPT,2024,35-44,Enterprise,56.0956097560976,197152,41
Australia,Agriculture,ChatGPT,2024,35-44,SME,54.0432142857143,161570,28
Australia,Agriculture,ChatGPT,2024,35-44,Startup,44.9087878787879,169228,33
Australia,Agriculture,ChatGPT,2024,45-54,Enterprise,48.8540540540541,224190,37
Australia,Agriculture,ChatGPT,2024,45-54,SME,52.2183783783784,162843,37
Australia,Agriculture,ChatGPT,2024,45-54,Startup,50.2339393939394,187536,33
Australia,Agriculture,ChatGPT,2024,55+,Enterprise,47.639696969697,163691,33
Australia,Agriculture,ChatGPT,2024,55+,SME,50.457380952381,215865,42
Australia,Agriculture,ChatGPT,2024,55+,Startup,47.9931578947368,181037,38
Australia,Agriculture,Claude,2023,18-24,SME,62.49,8852,2
Australia,Agriculture,Claude,2023,18-24,Startup,20.45,7539,1
Australia,Agriculture,Claude,2023,25-34,Enterprise,21.29,12291,3
Australia,Agriculture,Claude,2023,25-34,SME,35.195,12401,2
Australia,Agriculture,Claude,2023,25-34,Startup,56.0425,19572,4
Australia,Agriculture,Claude,2023,35-44,Enterprise,94.93,5727,1
Australia,Agriculture,Claude,2023,35-44,SME,26.28,5786,1
Australia,Agriculture,Claude,2023,35-44,Startup,65.49,8356,2
Australia,Agriculture,Claude,2023,45-54,Enterprise,71.245,16921,2
